TimeStamp,Date,CountyName,Province,PopulationCensus16,ConfirmedCovidCases,NewCases,3DayAvg,7DayAvg
1585612800000,31/03/2020,Louth,Leinster,128884,52,1,4,5
1585612800000,31/03/2020,Mayo,Connacht,130507,52,4,8,5
1585612800000,31/03/2020,Meath,Leinster,195044,74,8,9,7
1585612800000,31/03/2020,Monaghan,Ulster,61386,17,4,2,2
1585612800000,31/03/2020,Offaly,Leinster,77961,46,6,4,4
1585612800000,31/03/2020,Roscommon,Connacht,64544,10,0,0,1
1585612800000,31/03/2020,Sligo,Connacht,65535,25,3,2,2
1585612800000,31/03/2020,Tipperary,Munster,159553,91,6,10,9
1585612800000,31/03/2020,Waterford,Munster,116176,38,1,1,2
1585612800000,31/03/2020,Westmeath,Leinster,88770,81,1,4,7
1585612800000,31/03/2020,Wexford,Leinster,149722,16,1,1,1
1585612800000,31/03/2020,Wicklow,Leinster,142425,84,7,5,5
1585699200000,01/04/2020,Carlow,Leinster,56932,3,0,0,0
1585699200000,01/04/2020,Cavan,Ulster,76176,41,2,3,5
1585699200000,01/04/2020,Clare,Munster,118817,50,1,3,3
1585699200000,01/04/2020,Cork,Munster,542868,292,20,18,17
1585699200000,01/04/2020,Donegal,Ulster,159192,77,9,10,9
1585699200000,01/04/2020,Dublin,Leinster,1347359,2077,239,197,165
1585699200000,01/04/2020,Galway,Connacht,258058,98,7,4,6
1585699200000,01/04/2020,Kerry,Munster,147707,79,7,4,5
1585699200000,01/04/2020,Kildare,Leinster,222504,103,13,12,8
1585699200000,01/04/2020,Kilkenny,Leinster,99232,47,10,4,4
1585699200000,01/04/2020,Laois,Leinster,84697,16,0,0,1
1585699200000,01/04/2020,Leitrim,Connacht,32044,12,0,2,1
1585699200000,01/04/2020,Limerick,Munster,194899,96,2,10,9
1585699200000,01/04/2020,Longford,Leinster,40873,16,2,2,2
1585699200000,01/04/2020,Louth,Leinster,128884,54,2,3,4
1585699200000,01/04/2020,Mayo,Connacht,130507,55,3,6,5
1585699200000,01/04/2020,Meath,Leinster,195044,88,14,11,8
1585699200000,01/04/2020,Monaghan,Ulster,61386,18,1,2,2
1585699200000,01/04/2020,Offaly,Leinster,77961,47,1,4,4
